"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPDYE2",25.5432446753074,-1.63860414852008,0.62267907136934,-2.63153881969504,0.0084999155999187,0.108701722013398
"MAP3K8",7.20545427156875,-1.63792575532883,0.735428780220008,-2.22717114067638,0.0259358380974021,0.224438470197673
"PREX1",26.8959748675094,-1.62453250948326,0.692162268102848,-2.3470399707513,0.0189232246410502,0.183102187723965
"SNORD3B-2",8.53273753969585,-1.61948669109662,0.789432492893089,-2.05145684485519,0.0402224781377855,0.291554023828754
"PASK",14.3262888475916,-1.61339110305569,0.465825437211385,-3.46351009235151,0.000533176593473868,0.0133737560951275
"RGPD8",10.8309377382629,-1.61167157932765,0.540102355144085,-2.98401138965169,0.00284496181456301,0.0502582825698374
"APCDD1",6.41867549157246,-1.60026558098959,0.700297046647137,-2.28512398938608,0.0223055585295198,0.203865880839646
"E2F2",5.14985890458321,-1.59986847158681,0.606150556843154,-2.63939124286046,0.00830550675220551,NA
"PAQR4",26.9733304971682,-1.57901304783167,0.288071891254217,-5.4813159345638,4.2217380301296e-08,4.07859472504552e-06
"C3orf35",6.45257192682236,-1.55126290773026,0.750862519492594,-2.06597461913341,0.0388308761901898,0.285144070646013
"EEPD1",9.97540506321097,-1.52101753170221,0.679206601604207,-2.23940333929285,0.0251296842966403,0.220236481936396
"FAM234B",21.0619008696503,-1.486202275219,0.448345377826016,-3.31486025890453,0.000916889477759871,0.0207729852644995
"HIST1H2BG",29.150265326619,-1.4796321607645,0.746811092854373,-1.98126698293838,0.0475613409791178,0.3179154284042
"SWSAP1",6.09873431395648,-1.47441466764454,0.724103838912562,-2.03619230890803,0.0417310482678203,0.298032692295179
"SETD6",12.1652211142519,-1.46474458402888,0.54867814540572,-2.66958798394599,0.00759443732054903,0.100873052530515
"MCM3",69.0440119424096,-1.45595762074537,0.170067320946205,-8.56106636269003,1.11828309215892e-17,3.14288379946301e-15
"ACTR3B",18.2274780847002,-1.43539648419978,0.465641765165031,-3.08261971236847,0.00205187182194278,0.0387400097380605
"BEX1",70.6063859200847,-1.42987765555967,0.48433662715035,-2.95223936288387,0.00315478274588288,0.0545622985113114
"ZNF215",7.93783485712956,-1.41269553845746,0.535207449332841,-2.6395289157848,0.00830213404868148,0.106787892686935
"BCYRN1",171.359220376077,-1.40923155462347,0.301744346059856,-4.67028321499661,3.00784755995175e-06,0.000184133875873086
"SNAI3-AS1",9.94169828262916,-1.4039582917588,0.712532754107705,-1.97037719833239,0.0487951568318631,0.323382377660169
"SERPINB2",89.088884550324,-1.40360035840629,0.63318581057762,-2.2167274360205,0.0266417227695294,0.227051374064783
"FAM111B",8.91317991140689,-1.39057690939812,0.449328822751342,-3.09478679975014,0.00196954415266359,0.037469819987443
